Sample Location,Depth interval (m),Sediment Group,SO42−​ (mg S/kg),DOC (mg C/kg),Chws​ (mg C/kg),Cl​ (mg C/kg),Corg​ (mg C/kg),Total-S (mg S/kg),Total-N (mg N/kg),Sand (%),Silt (%),Dr​(7) (µg N/kg d⁻¹),Dcum​(365) (mg N/kg yr⁻¹),SRC (mg N/kg),SRCC​ (mg N/kg),SRCS​ (mg N/kg),aF_SRC (%),SFC (mg S/kg yr⁻¹),emLoD (yr),Dr in situ (µg N kg-1 d-1)
FFA B1,6.0-7.0,transition zone,3.3,7.2,30.3,82.2,643,86,33,95,5,51.66,17.18,659.6,599.5,60.1,2.6,6.1,5,17.59
FFA B1,7.0-8.0,sulphidic,3.3,5.7,887,32.3,5955,603,94,94.8,5.2,33.89,56.24,5974.2,5552.7,421.5,0.94,39.4,44.8,1.51
FFA B2,2.0-3.0,non-sulphidic,10.2,11.5,20,2.7,237,29,26,98.9,0.2,1.27,0.19,240.8,220.7,20.1,0.08,0.1,1.8,0.12
FFA B2,3.0-4.0,non-sulphidic,25.3,10.2,17.2,2.7,203,38,23,98.9,0.2,2.12,0.37,215.4,189.2,26.3,0.17,-0.1,1.6,0.12
FFA B2,4.0-5.0,non-sulphidic,19.5,8.9,21.6,228.6,545,46,54,96.4,1.3,35.27,4.34,540.2,508,32.2,0.8,1,4.1,0.07
FFA B2,8.0-9.0,transition zone,0,6.9,93.9,33.8,1625,176,31,40.4,59.6,21.05,10.53,1638.2,1515.5,122.7,0.64,3.5,12.3,8.65
FFA B2,9.0-10.0,transition zone,0.9,6.2,116.9,40,538,156,28,94.7,5.3,41.41,12.68,610.7,502,108.7,2.08,2.2,4.6,8.65
FFA B4,7.0-8.0,sulphidic,,,,,483,220,21,97.3,2.7,45.67,20.16,603.6,450.2,153.4,3.34,9.6,4.5,2.76
FFA B4,8.0-9.0,sulphidic,,,,,1114,359,39,95.4,4.7,25.24,34.09,1289.5,1038.9,250.7,2.64,22,9.7,2.28
FFA B6,2.0-3.0,non-sulphidic,17.7,11.6,259.6,22.1,695,56,41,97.8,0.6,11.53,2.64,687,648.9,39.1,0.38,0.3,5.2,0.06
FFA B6,3.0-4.0,non-sulphidic,23.3,10.3,21.6,172.5,1047,59,46,97.8,0.4,6.93,1.46,1017.4,976.5,40.9,0.14,0.1,7.6,0.06
FFA N10,4.5-5.0,transition zone,5.4,9.2,22.2,462.7,1291,50,87,94.9,1,35.97,8.69,1239,1204.1,34.8,0.7,1.5,9.3,12.89
FFA N10,5.0-5.5,transition zone,3.8,9.6,27.6,206.9,737,49,55,98,0.3,61.03,8.75,721.6,687.1,34.5,1.21,2.1,5.4,12.89
FFA N10,5.5-6.0,transition zone,12.8,10.8,160.6,28.4,687,49,36,97.4,0.4,36.99,7.82,674.6,640.3,34.3,1.16,5.2,5.1,12.89
FFA N10,7.7-8.3,transition zone,,,,41.2,311,57,10,96.3,3.8,33.71,15.04,329.5,290,39.5,4.56,1.5,2.5,23.19
FFA N10,8.3-8.6,transition zone,,,,42.5,320,47,11,97.9,2.2,20.25,15.17,331.5,298.7,32.9,4.58,6.9,2.5,23.19
FFA N10,10.0-10.4,sulphidic,,,,,310,45,18,96.3,3.7,12.34,17.45,320.6,289.3,31.3,5.44,5.4,2.4,
FFA N10,10.4-10.7,sulphidic,,,,,5627,464,113,96.4,3.6,23.75,50.07,5571.6,5247.7,323.9,0.9,9.4,41.8,
FFA N10,12.0-13.0,sulphidic,,,,0,2554,558,64,96.7,3.3,26.47,52.84,2771.3,2381.7,389.6,1.91,37.9,20.8,
