Sample ID,Depth (m),Zone,Org C (mg/kg),Total S (mg/kg),Di​ (µg N/kg d⁻¹),cN2​Omax​ (µg N/kg),k1​ (Seq),k2​ (Seq),Di​ (μg N/kg d−1),Dmax​ (μg N/kg d−1),SO42−​ PR (N-eq)  (μg N/kg d−1),Ratio (SO4​/Dmax​)
B1,2.0-2.6,Heterotrophic,539.6,47.4,0.46,2.37,0.007,0.977,0.46,2.7,,
B1,2.6-3.0,Heterotrophic,587.7,45.8,0.59,12.75,0.263,0.008,0.59,2.46,,
B1,3.4-4.0,Heterotrophic,658.6,39.7,3.35,79.32,0.162,0.004,3.35,13.33,,
I1-S1,1.5-2.0,Heterotrophic,816.1,44.6,8.61,23.35,0.92,0.005,8.61,35.16,,
I1-S1,2.0-2.5,Heterotrophic,609.3,75.8,1.12,36.79,0.115,0.004,1.12,3.97,,
I1-S1,2.5-3.0,Heterotrophic,485.2,91.6,0.74,79.28,0.003,0.031,0.74,4.57,,
I1-S2,1.5-2.0,Heterotrophic,536.6,0,1.61,5.5,0.004,1.172,1.61,11.93,,
I1-S2,2.0-2.5,Heterotrophic,506.1,0,0.85,19.44,0.006,0.103,0.85,4.67,,
I1-S3,1.5-2.0,Heterotrophic,729.5,33.7,13.33,5.32,0.007,4.881,13.33,30.6,,
I1-S3,2.0-2.5,Heterotrophic,584.6,0,0.43,2.46,0.005,1.435,0.43,3.51,,
I1-S3,2.5-3.0,Heterotrophic,528,0,0.22,58.53,0.1,0.005,0.22,6.52,,
I1-1,6.5-7.0,Autotrophic,556,302.5,43.19,1257.95,0.004,0.135,43.19,77.04,60.66,0.79
I1-2,6.5-7.0,Autotrophic,438,265.5,50.93,482.74,0.003,0.23,50.93,61.24,58.44,0.95
I1-3,6.5-7.0,Autotrophic,469.4,458,84.65,330.47,0.02,1.145,84.65,177.63,125.9,0.71
I1-4,6.5-7.0,Autotrophic,714.7,430.9,78.43,1698.03,0.289,0.008,78.43,166.55,41.64,0.25
I1-5,6.5-7.0,Autotrophic,1293.7,379.9,86.52,239.15,1.824,0.019,86.52,257.73,125.5,0.49
I1-6,6.5-7.0,Autotrophic,1488.9,5.1,148.05,11.07,0.021,35.32,148.05,156.57,184.6,1.18
I1-7,6.5-7.0,Autotrophic,685.3,253.2,34.4,520.17,0.004,0.154,34.4,61.35,59.08,0.96
I1-8,6.5-7.0,Autotrophic,461.5,361.9,30.3,836.24,0.239,0.002,30.3,39.71,36.01,0.91
I1-9,6.5-7.0,Autotrophic,894.7,3.6,77.71,525.6,0.021,1.157,77.71,283.56,152.15,0.54
I1-10,6.5-7.0,Autotrophic,545.9,2.3,41.52,77.32,3.578,0.012,41.52,100.42,90.41,0.9
I1-11,6.5-7.0,Autotrophic,720.7,3.1,57.21,647,0.014,0.621,57.21,168.48,130.41,0.77
