Sequence_ID	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_101_pnh	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
ASV_105_ssr	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
ASV_11j_jhy	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Nevskiaceae	Polycyclovorans	
ASV_12c_1ag	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Cuspidothrix LMECYA 163	issatschenkoi
ASV_12f_bjn	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	alcaligenes/peli
ASV_12v_sc2	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
ASV_12x_qu7	Bacteria	Chloroflexota					
ASV_132_505	Bacteria	Planctomycetota	OM190				
ASV_13l_xon	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	discipulorum/universalis
ASV_13z_c8e	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
ASV_14e_7zh	Bacteria	Planctomycetota	OM190				
ASV_14o_2k1	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
ASV_15e_yuw	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
ASV_165_dil	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	
ASV_16l_ach	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	ginsengisoli
ASV_16v_4le	Bacteria	Pseudomonadota	Alphaproteobacteria				
ASV_16v_5i6	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	
ASV_16z_f8m	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
ASV_17a_4wa	Bacteria	Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	
ASV_17b_62v	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
ASV_17k_ckk	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	
ASV_17p_nf1	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus	coquinae/psychrophilus
ASV_17u_omy	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group		
ASV_17w_gh1	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
ASV_18b_yp3	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	TRA3-20		
ASV_19c_dhj	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	
ASV_19l_f38	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	bouvetii/gandensis/guillouiae/haemolyticus/johnsonii
ASV_19u_f8u	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	
ASV_1aa_n08	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Flectobacillus	rhizosphaerae/roseus
ASV_1ac_iw9	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
ASV_1ao_d38	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae		
ASV_1ar_y6c	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
ASV_1au_y9t	Eukaryota						
ASV_1bf_eac	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
ASV_1bj_hse	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae		
ASV_1bq_yna	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group II			
ASV_1bu_s77	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
ASV_1ca_mvm	Bacteria	Acidobacteriota	AT-s3-28				
ASV_1d9_1ha	Bacteria	Patescibacteria	Microgenomatia	Candidatus Collierbacteria			
ASV_1d9_t13	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales			
ASV_1dj_8vs	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
ASV_1dm_u3u	Bacteria	Patescibacteria	Parcubacteria				
ASV_1ec_5xb	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
ASV_1ez_zap	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
ASV_1fh_h23	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Chryseotalea	
ASV_1gl_tl5	Bacteria	Planctomycetota	OM190				
ASV_1gy_5mg	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae		
ASV_1h9_5zl	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
ASV_1hl_24s	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI 0001001-H03	
ASV_1i5_2l8	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae		
ASV_1i8_re5	Bacteria	Actinomycetota					
ASV_1il_zq9	Bacteria	Latescibacterota					
