Sequence_ID	JMF-2511-04-0001A	JMF-2511-04-0002A	JMF-2511-04-0003A	JMF-2511-04-0004A	JMF-2511-04-0005A	JMF-2511-04-0006A	JMF-2511-04-0007A	JMF-2511-04-0008A	JMF-2511-04-0009A	JMF-2511-04-0010A	JMF-2511-04-0011A	JMF-2511-04-0012A	JMF-2511-04-0013A	JMF-2511-04-0014A	JMF-2511-04-0015A	JMF-2511-04-0016A	JMF-2511-04-0017A	JMF-2511-04-0018A	JMF-2511-04-0019A	JMF-2511-04-0020A	JMF-2511-04-0021A	JMF-2511-04-0022A	JMF-2511-04-0023A	JMF-2511-04-0024A	JMF-2511-04-0025A	JMF-2511-04-0026A	JMF-2511-04-0027A	JMF-2511-04-0028A	JMF-2511-04-0029A	JMF-2511-04-0030A	JMF-2511-04-0031A	JMF-2511-04-0032A	JMF-2511-04-0033A	JMF-2511-04-0034A	JMF-2511-04-0035A	JMF-2511-04-0036A	JMF-2511-04-0037A	JMF-2511-04-0038A	JMF-2511-04-0039A	JMF-2511-04-0040A
ASV_101_pnh	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105_ssr	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11j_jhy	4	5	12	1	5	5	9	5	7	3	6	0	6	5	10	2	5	6	0	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12c_1ag	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12f_bjn	6	28	22	22	17	7	25	37	12	18	30	0	23	13	4	20	16	13	2	14	15	6	0	0	0	0	2	6	6	0	0	4	0	2	0	2	0	1	4	0
ASV_12v_sc2	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12x_qu7	0	2	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_132_505	0	1	2	0	1	0	1	1	0	1	0	0	0	2	3	1	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13l_xon	0	1	0	0	3	1	0	1	1	6	1	0	2	5	0	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13z_c8e	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
