sample_id,site,sample_type
JMF-2511-04-0001,sonja,sediment
JMF-2511-04-0002,sonja,sediment
JMF-2511-04-0003,sonja,sediment
JMF-2511-04-0004,sonja,sediment
JMF-2511-04-0005,sonja,sediment
JMF-2511-04-0006,sonja,sediment
JMF-2511-04-0007,sonja,sediment
JMF-2511-04-0008,sonja,sediment
JMF-2511-04-0009,sonja,sediment
JMF-2511-04-0010,sonja,sediment
JMF-2511-04-0011,sonja,sediment
JMF-2511-04-0012,sonja,sediment
JMF-2511-04-0013,sonja,sediment
JMF-2511-04-0014,sonja,sediment
JMF-2511-04-0015,sonja,sediment
JMF-2511-04-0016,sonja,sediment
JMF-2511-04-0017,sonja,sediment
JMF-2511-04-0018,sonja,sediment
JMF-2511-04-0019,sonja,sediment
JMF-2511-04-0020,sonja,sediment
JMF-2511-04-0021,sonja,sediment
JMF-2511-04-0022,sonja,sediment
JMF-2511-04-0023,sonja,sediment
JMF-2511-04-0024,sonja,sediment
JMF-2511-04-0025,sonja,sediment
JMF-2511-04-0026,sonja,sediment
JMF-2511-04-0027,sonja,sediment
JMF-2511-04-0028,sonja,sediment
JMF-2511-04-0029,sonja,sediment
JMF-2511-04-0030,sonja,sediment
JMF-2511-04-0031,fuhrberg,column_1_inlet
JMF-2511-04-0032,fuhrberg,column_2_inlet
JMF-2511-04-0033,fuhrberg,column_3_inlet
JMF-2511-04-0034,fuhrberg,control
JMF-2511-04-0035,blank,blank
JMF-2511-04-0036,fuhrberg,column_1_outlet
JMF-2511-04-0037,fuhrberg,column_2_outlet
JMF-2511-04-0038,fuhrberg,column_3_outlet
JMF-2511-04-0039,fuhrberg,control
JMF-2511-04-0040,blank,blank
